
{'Accuracy': 0.49238094687461853, 'F1_Score': 0.28070175647735596, 'Recall': 0.5942857265472412, 'Precision': 0.1837455779314041, 'AUC': 0.5446516275405884}
{'Accuracy': 0.5199999809265137, 'F1_Score': 0.27220216393470764, 'Recall': 0.5385714173316956, 'Precision': 0.18212559819221497, 'AUC': 0.5369126796722412}
{'Accuracy': 0.46047618985176086, 'F1_Score': 0.2755754590034485, 'Recall': 0.6157143115997314, 'Precision': 0.17751236259937286, 'AUC': 0.535574734210968}
{'Accuracy': 0.5047619342803955, 'F1_Score': 0.2752613127231598, 'Recall': 0.5642856955528259, 'Precision': 0.1820276528596878, 'AUC': 0.5456922650337219}
{'Accuracy': 0.49261903762817383, 'F1_Score': 0.2674458622932434, 'Recall': 0.5557143092155457, 'Precision': 0.1760977804660797, 'AUC': 0.5366518497467041}
{'Accuracy': 0.4990476071834564, 'F1_Score': 0.27747252583503723, 'Recall': 0.5771428346633911, 'Precision': 0.18264015018939972, 'AUC': 0.5462151169776917}
{'Accuracy': 0.477142870426178, 'F1_Score': 0.27858081459999084, 'Recall': 0.6057142615318298, 'Precision': 0.180887371301651, 'AUC': 0.5397945046424866}
{'Accuracy': 0.5295237898826599, 'F1_Score': 0.27192336320877075, 'Recall': 0.5271428823471069, 'Precision': 0.18321748077869415, 'AUC': 0.5442179441452026}
{'Accuracy': 0.49738094210624695, 'F1_Score': 0.2812393605709076, 'Recall': 0.5899999737739563, 'Precision': 0.18462225794792175, 'AUC': 0.5455455183982849}
{'Accuracy': 0.4226190447807312, 'F1_Score': 0.2771982252597809, 'Recall': 0.6642857193946838, 'Precision': 0.17514124512672424, 'AUC': 0.5384583473205566}
{'Accuracy': 0.47904762625694275, 'F1_Score': 0.2835625410079956, 'Recall': 0.618571400642395, 'Precision': 0.18394222855567932, 'AUC': 0.5465567111968994}
{'Accuracy': 0.5164285898208618, 'F1_Score': 0.28157058358192444, 'Recall': 0.5685714483261108, 'Precision': 0.18711800873279572, 'AUC': 0.5496375560760498}
{'Accuracy': 0.4942857027053833, 'F1_Score': 0.276566743850708, 'Recall': 0.5799999833106995, 'Precision': 0.1815742403268814, 'AUC': 0.5451699495315552}
{'Accuracy': 0.47976189851760864, 'F1_Score': 0.2748091518878937, 'Recall': 0.5914285778999329, 'Precision': 0.17898832261562347, 'AUC': 0.5415469408035278}
{'Accuracy': 0.47357141971588135, 'F1_Score': 0.27579429745674133, 'Recall': 0.6014285683631897, 'Precision': 0.17892052233219147, 'AUC': 0.5364514589309692}
{'Accuracy': 0.5035714507102966, 'F1_Score': 0.2857142984867096, 'Recall': 0.595714271068573, 'Precision': 0.18792249262332916, 'AUC': 0.5535752773284912}
{'Accuracy': 0.49785715341567993, 'F1_Score': 0.27049463987350464, 'Recall': 0.558571457862854, 'Precision': 0.1784573197364807, 'AUC': 0.5328620672225952}
{'Accuracy': 0.4761904776096344, 'F1_Score': 0.2796332538127899, 'Recall': 0.6100000143051147, 'Precision': 0.18139337003231049, 'AUC': 0.5446538925170898}
{'Accuracy': 0.5057142972946167, 'F1_Score': 0.27004218101501465, 'Recall': 0.5485714077949524, 'Precision': 0.17910447716712952, 'AUC': 0.5404009819030762}
{'Accuracy': 0.4721428453922272, 'F1_Score': 0.278085321187973, 'Recall': 0.6100000143051147, 'Precision': 0.18009278178215027, 'AUC': 0.5431954860687256}
{'Accuracy': 0.4638095200061798, 'F1_Score': 0.2800511419773102, 'Recall': 0.6257143020629883, 'Precision': 0.18039539456367493, 'AUC': 0.5468314290046692}
{'Accuracy': 0.48642855882644653, 'F1_Score': 0.2720215916633606, 'Recall': 0.5757142901420593, 'Precision': 0.1780821979045868, 'AUC': 0.5372115969657898}
{'Accuracy': 0.5009523630142212, 'F1_Score': 0.27019497752189636, 'Recall': 0.5542857050895691, 'Precision': 0.17863720655441284, 'AUC': 0.5355907678604126}
